Timestamp,IP Address,Request Type,Resource,Status Code,User,Sport,Country,Gender,Continent
2024-05-16 10:06:36.599853,192.168.0.1,GET,/index.html,200,user2,tennis,South Africa,Female,Africa
2024-05-20 13:27:36.599853,172.16.0.1,GET,/index.html,404,user2,basketball,Canada,Female,North America
2024-05-20 01:04:36.599853,10.0.0.1,GET,/about.html,404,user3,basketball,Argentina,Female,South America
2024-05-18 20:13:36.599853,192.168.0.1,GET,/contact.html,500,user2,soccer,Brazil,Male,South America
2024-05-17 15:47:36.599853,192.168.0.1,GET,/index.html,404,user2,tennis,South Africa,Male,Africa
2024-05-21 20:53:36.599853,10.0.0.1,POST,/contact.html,500,user3,golf,Australia,Female,Oceania
2024-05-17 12:00:36.599853,172.16.0.1,GET,/index.html,500,user3,tennis,Chile,Female,South America
2024-05-21 01:53:36.599853,172.16.0.1,POST,/contact.html,200,user3,golf,Australia,Male,Oceania
2024-05-18 15:09:36.599853,172.16.0.1,GET,/index.html,404,user2,basketball,Mexico,Female,North America
2024-05-18 10:41:36.599853,192.168.0.1,GET,/index.html,500,user2,tennis,South Africa,Male,Africa
2024-05-20 09:56:36.599853,10.0.0.1,GET,/about.html,404,user1,football,China,Female,Asia
2024-05-19 01:02:36.599853,192.168.0.1,GET,/contact.html,404,user3,basketball,Fiji,Male,Oceania
2024-05-17 13:31:36.599853,10.0.0.1,GET,/contact.html,200,user2,tennis,Japan,Male,Asia
2024-05-19 19:56:36.599853,10.0.0.1,POST,/about.html,200,user1,tennis,Australia,Female,Oceania
2024-05-22 23:08:36.599853,172.16.0.1,POST,/about.html,200,user1,soccer,Australia,Male,Oceania
2024-05-18 02:33:36.599853,172.16.0.1,POST,/contact.html,200,user3,basketball,Fiji,Female,Oceania
2024-05-16 09:48:36.599853,10.0.0.1,GET,/contact.html,404,user2,basketball,South Africa,Female,Africa
2024-05-17 18:26:36.599853,10.0.0.1,GET,/contact.html,500,user3,tennis,New Zealand,Male,Oceania
2024-05-21 09:54:36.599853,10.0.0.1,GET,/about.html,500,user2,basketball,Japan,Male,Asia
2024-05-19 09:17:36.599853,172.16.0.1,POST,/contact.html,500,user3,football,Chile,Female,South America
2024-05-17 03:44:36.599853,172.16.0.1,GET,/contact.html,200,user3,football,Brazil,Female,South America
2024-05-18 21:45:36.599853,10.0.0.1,GET,/contact.html,200,user2,football,Kenya,Female,Africa
2024-05-21 14:27:36.599853,172.16.0.1,POST,/contact.html,500,user3,basketball,Argentina,Male,South America
2024-05-18 15:54:36.599853,172.16.0.1,POST,/about.html,500,user3,tennis,New Zealand,Female,Oceania
2024-05-17 17:55:36.599853,192.168.0.1,GET,/index.html,404,user3,tennis,France,Female,Europe
2024-05-17 03:47:36.599853,192.168.0.1,GET,/contact.html,500,user2,tennis,Mexico,Female,North America
2024-05-23 00:23:36.599853,10.0.0.1,GET,/index.html,500,user2,golf,Canada,Male,North America
2024-05-19 12:09:36.599853,172.16.0.1,POST,/contact.html,500,user1,soccer,Kenya,Female,Africa
2024-05-18 12:48:36.599853,192.168.0.1,GET,/contact.html,404,user1,tennis,Canada,Male,North America
2024-05-17 04:14:36.599853,192.168.0.1,POST,/index.html,404,user3,golf,Kenya,Female,Africa
2024-05-17 14:14:36.599853,10.0.0.1,POST,/contact.html,500,user3,soccer,France,Female,Europe
2024-05-16 18:09:36.599853,172.16.0.1,POST,/about.html,500,user3,football,Canada,Male,North America
2024-05-17 03:06:36.599853,172.16.0.1,POST,/contact.html,200,user3,tennis,India,Male,Asia
2024-05-22 03:38:36.599853,10.0.0.1,GET,/contact.html,200,user1,basketball,South Africa,Female,Africa
2024-05-16 20:10:36.599853,10.0.0.1,GET,/about.html,200,user1,tennis,Japan,Male,Asia
2024-05-19 21:32:36.599853,172.16.0.1,GET,/contact.html,404,user2,basketball,USA,Male,North America
2024-05-20 16:40:36.599853,192.168.0.1,POST,/index.html,500,user2,tennis,Australia,Male,Oceania
2024-05-21 16:14:36.599853,192.168.0.1,POST,/about.html,404,user2,basketball,Chile,Female,South America
2024-05-16 06:32:36.599853,10.0.0.1,POST,/index.html,500,user1,basketball,UK,Female,Europe
2024-05-19 17:45:36.599853,172.16.0.1,POST,/contact.html,404,user1,tennis,Kenya,Female,Africa
2024-05-21 11:38:36.599853,172.16.0.1,GET,/contact.html,200,user2,golf,USA,Female,North America
2024-05-21 19:11:36.599853,10.0.0.1,GET,/about.html,200,user1,tennis,New Zealand,Male,Oceania
2024-05-19 04:50:36.599853,10.0.0.1,GET,/contact.html,200,user1,football,South Africa,Male,Africa
2024-05-17 13:14:36.599853,192.168.0.1,POST,/contact.html,500,user1,golf,Germany,Female,Europe
2024-05-16 09:20:36.599853,10.0.0.1,POST,/about.html,404,user3,football,Chile,Female,South America
2024-05-19 15:21:36.599853,192.168.0.1,GET,/contact.html,500,user2,basketball,Mexico,Female,North America
2024-05-18 10:48:36.599853,172.16.0.1,POST,/contact.html,200,user3,football,USA,Female,North America
2024-05-17 17:04:36.599853,172.16.0.1,GET,/contact.html,200,user1,tennis,South Africa,Female,Africa
2024-05-18 19:12:36.599853,192.168.0.1,GET,/index.html,200,user3,basketball,Japan,Male,Asia
2024-05-17 06:53:36.599853,10.0.0.1,POST,/about.html,404,user2,soccer,Kenya,Male,Africa
2024-05-17 13:13:36.599853,192.168.0.1,GET,/contact.html,404,user1,tennis,China,Female,Asia
2024-05-17 16:53:36.599853,172.16.0.1,GET,/index.html,200,user3,golf,Chile,Male,South America
2024-05-22 09:32:36.599853,172.16.0.1,POST,/about.html,500,user3,golf,South Africa,Female,Africa
2024-05-19 00:19:36.599853,192.168.0.1,GET,/about.html,200,user2,tennis,Kenya,Male,Africa
2024-05-21 03:58:36.599853,192.168.0.1,GET,/about.html,200,user2,golf,Japan,Female,Asia
2024-05-19 13:19:36.599853,172.16.0.1,POST,/about.html,404,user2,basketball,Australia,Female,Oceania
2024-05-16 15:10:36.599853,192.168.0.1,POST,/index.html,404,user2,football,Kenya,Female,Africa
2024-05-17 13:12:36.599853,192.168.0.1,POST,/contact.html,500,user1,football,New Zealand,Female,Oceania
2024-05-20 16:33:36.599853,192.168.0.1,GET,/about.html,500,user2,golf,China,Male,Asia
2024-05-19 13:40:36.599853,172.16.0.1,POST,/index.html,200,user2,soccer,China,Male,Asia
2024-05-20 08:11:36.599853,192.168.0.1,GET,/about.html,404,user1,soccer,Chile,Female,South America
2024-05-20 07:40:36.599853,192.168.0.1,POST,/about.html,200,user1,soccer,China,Male,Asia
2024-05-21 09:06:36.599853,172.16.0.1,GET,/index.html,404,user3,tennis,China,Female,Asia
2024-05-21 07:57:36.599853,10.0.0.1,GET,/index.html,500,user1,football,Chile,Female,South America
2024-05-20 23:26:36.599853,172.16.0.1,POST,/about.html,404,user1,basketball,Germany,Female,Europe
2024-05-17 04:41:36.599853,172.16.0.1,POST,/contact.html,500,user1,soccer,India,Female,Asia
2024-05-22 16:43:36.599853,192.168.0.1,GET,/index.html,404,user1,football,South Africa,Male,Africa
